sample_id,sample_age_rep,harvest_time
lea_Spec4_diverse_ED00354.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00355.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00356.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00357.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00358.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00359.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00360.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00361.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00362.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00363.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00364.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00365.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00366.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00367.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00368.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00369.asd.ref,SCHWRZ,ED
lea_Spec4_diverse_ED00370.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00371.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00372.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00373.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00374.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00375.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00376.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00377.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00378.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00379.asd.ref,LE1619_m_5,ED
lea_Spec4_diverse_ED00380.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00381.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00382.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00383.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00384.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00385.asd.ref,LE1619_m_6,ED
